Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
Century Aluminum Company,Rob Hoffman ,https://www.linkedin.com/in/rob-hoffman-96275b2,Jesse Gary ,https://www.linkedin.com/in/jesse-gary-56855b6,https://www.centuryaluminum.com
"CF Industries Holdings, Inc.",Daniel Swenson ,https://www.linkedin.com/in/danielswenson,Daniel Swenson ,https://www.linkedin.com/in/danielswenson,https://www.cfindustries.com
"Charah Solutions, Inc.",David Clem ,https://www.linkedin.com/in/david-clem-4885aa51,David Clem ,https://www.linkedin.com/in/david-clem-4885aa51,N/A
Chemours Company (The),Pascal Rechatin 雷博思 ,https://in.linkedin.com/pub/pascal-rechatin-%E9%9B%B7%E5%8D%9A%E6%80%9D/7/954/7a,Kelly Scott ,https://www.linkedin.com/in/kelly-scott-778408b0,https://www.chemours.com
"China Advanced Construction Materials Group, Inc.",Michael Cui ,https://au.linkedin.com/in/michael-cui-59ba1368,王瀚 ,https://tr.linkedin.com/pub/%E7%80%9A-%E7%8E%8B/9a/6a6/432?trk=co-feed-likes-one,https://www.china-acm.com
"China Green Agriculture, Inc.",Jonnie Wang ,https://www.linkedin.com/in/jonnie-wang-a776747,Jonnie Wang ,https://www.linkedin.com/in/jonnie-wang-a776747,https://www.cgagri.com
"China Natural Resources, Inc.",100+ Norman profiles at China ,https://www.linkedin.com/pub/dir/Norman/+/china-company,100+ Norman profiles at China ,https://www.linkedin.com/pub/dir/Norman/+/china-company,https://www.chnr.net
"Church & Dwight Company, Inc.",Lisa A. Owens ,https://www.linkedin.com/in/lisa-a-owens-292b926,Curt Siverling ,https://www.linkedin.com/in/curt-siverling-8643b84,https://www.churchdwight.com
Ciner Resources LP,Kirk Milling ,https://www.linkedin.com/in/kirk-milling-a63b92130,Nicole Daniel ,https://www.linkedin.com/in/nicole-daniel-547b656,https://www.ciner.us.com
"Clean Harbors, Inc.",Paul Taveira ,https://www.linkedin.com/in/paul-taveira-4547763,Brett P. Dowsett ,https://www.linkedin.com/in/brett-p-dowsett-65a8a12,https://www.cleanharbors.com
Clearwater Paper Corporation,Linda Massman ,https://www.linkedin.com/in/linda-massman-065555103,Joanne Shufelt ,https://www.linkedin.com/in/joanne-shufelt-2a25373,https://www.clearwaterpaper.com
Cleveland-Cliffs Inc.,Jay Mackie ,https://www.linkedin.com/in/jay-mackie-35869726,Celso Goncalves ,https://www.linkedin.com/in/celso-goncalves-44251280,https://www.clevelandcliffs.com
